Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1997. 09,584.1,914.8,59.493,,,,7227.0,,,,13.25,,SO
1997. 10,494.1,965.1,59.547,,,,7807.0,,,,13.64,,SO
1997. 11,390.3,1163.8,59.656000000000006,,,,4726.0,,,,14.09,,SO
1997. 12,475.2,1415.2,60.957,,,,10409.0,,,,21.58,,SO
1998. 01,525.2,1572.9,62.42100000000001,,,,2506.0,,,,25.63,,SO
1998. 02,523.0,1640.1,63.288999999999994,,,,1841.0,,,,23.53,,SO
1998. 03,444.2,1378.8,63.288999999999994,,,,5515.0,,,,22.62,,SO
1998. 04,356.3,1338.2,63.506,,,,1506.0,,,,21.23,,SO
1998. 05,313.3,1410.8,63.288999999999994,,,,2159.0,,,,18.45,,SO
1998. 06,327.8,1385.2,63.126000000000005,,,,,,,,16.25,,SO
1998. 07,312.8,1236.0,63.126000000000005,,,,935.0,,,,12.67,,SO
1998. 08,312.2,1331.8,63.343,,,,393.0,,,,9.53,,SO
1998. 09,358.8,1373.6,63.56100000000001,,,,1772.0,,,,8.43,,SO
1998. 10,429.2,1313.8,63.723,,,,3190.0,,,,7.27,,SO
1998. 11,524.7,1243.7,63.56100000000001,,,,2154.0,,,,7.24,,SO
1998. 12,597.6,1207.8,63.398,,,,4874.0,,,,6.96,,SO
1999. 01,533.0,1175.3,63.343,,,,4739.0,,,,6.35,,SO
1999. 02,586.2,1222.4,63.56100000000001,,,,398.0,,,,5.65,,SO
1999. 03,721.1,1224.7,63.723,,,,1657.0,,,,5.03,,SO
1999. 04,745.4,1176.4,63.831,,,,6916.0,,,,4.82,,SO
1999. 05,841.4,1186.3,63.669,,,,2574.0,,,,4.8,,SO
1999. 06,971.4,1155.9,63.343,,,,4150.0,,,,4.81,,SO
1999. 07,933.1,1206.9,63.181000000000004,,,,2227.0,,,,4.84,,SO
1999. 08,926.9,1184.9,63.886,,,,4044.0,,,,4.75,,SO
1999. 09,828.6,1218.7,63.994,,,,5145.0,,,,4.74,,SO
1999. 10,950.1,1200.5,64.53699999999999,,,,2836.0,,,,4.75,,SO
1999. 11,984.5,1157.5,64.483,,,,9865.0,,,,4.75,,SO
1999. 12,952.5,1145.4,64.374,,,,16909.0,,,,4.77,,SO
2000. 01,902.7,1122.1,64.71600000000001,,,,2563.0,,,,4.77,,SO
2000. 02,878.4,1131.8,64.97800000000001,,,,3339.0,,,,5.0,,SO
2000. 03,779.8,1108.3,65.24,,,,5530.0,,,,5.1,,SO
2000. 04,720.8,1110.3,64.97800000000001,,,,8698.0,,,,5.1,,SO
2000. 05,795.1,1133.8,64.71600000000001,,,,6983.0,,,,5.13,,SO
2000. 06,794.1,1114.8,65.109,,,,7102.0,,,,5.14,,SO
2000. 07,720.4,1116.2,65.305,,,,9714.0,,,,5.16,,SO
2000. 08,622.9,1108.8,65.566,,,,8281.0,,,,5.17,,SO
2000. 09,548.1,1115.0,66.28699999999999,,,,18583.0,,,,5.16,,SO
2000. 10,544.1,1136.7,66.221,,,,11535.0,,,,5.36,,SO
2000. 11,526.4,1195.3,66.025,,,,5959.0,,,,5.38,,SO
2000. 12,585.0,1259.7,66.221,,,,8649.0,,,,5.39,,SO
2001. 01,593.4,1265.5,66.94,,,,4188.0,,,,5.32,,SO
2001. 02,543.9,1245.7,67.203,,,,3546.0,,,,5.13,,SO
2001. 03,530.3,1328.0,67.857,,,,6240.0,,,,5.03,,SO
2001. 04,600.7,1324.7,68.184,,,,6659.0,,,,5.01,,SO
2001. 05,602.9,1292.9,68.184,,,,7632.0,,,,5.02,,SO
2001. 06,554.1,1300.7,68.446,,,,10267.0,,,,5.02,,SO
2001. 07,567.7,1301.4,68.512,,,,9815.0,,,,4.81,,SO
2001. 08,504.0,1283.8,68.839,,,,8738.0,,,,4.6,,SO
2001. 09,523.3,1309.1,68.839,,,,10239.0,,,,4.33,,SO
2001. 10,604.9,1296.1,68.969,,,,8590.0,,,,4.02,,SO
2001. 11,666.0,1274.0,68.642,,,,7447.0,,,,4.03,,SO
2001. 12,739.0,1326.1,68.839,,,,33229.0,,,,4.01,,SO
2002. 01,774.4,1314.8,69.23100000000001,,,,14741.0,,,,3.99,,SO
2002. 02,864.7,1327.7,69.492,,,,10899.0,,,,4.02,,SO
2002. 03,894.0,1326.4,69.95100000000001,,,,21847.0,,,,4.03,,SO
2002. 04,842.2,1292.2,70.343,,,,19906.0,,,,4.03,,SO
2002. 05,784.3,1233.3,70.671,,,,12516.0,,,,4.26,,SO
2002. 06,753.7,1201.8,70.605,,,,9310.0,,,,4.31,,SO
2002. 07,713.2,1197.0,70.40899999999999,,,,9166.0,,,,4.29,,SO
2002. 08,703.0,1200.5,70.80199999999999,,,,8077.0,,,,4.31,,SO
2002. 09,642.2,1225.5,71.194,,,,11806.0,,,,4.33,,SO
2002. 10,679.7,1233.4,71.064,,,,15134.0,,,,4.33,,SO
2002. 11,699.8,1208.0,71.194,,,,14889.0,,,,4.31,,SO
2002. 12,631.0,1200.4,71.52199999999999,,,,11476.0,,,,4.33,,SO
2003. 01,591.6,1170.5,71.84899999999999,,,,3632.0,,,,4.3,,SO
2003. 02,550.8,1186.8,72.242,,,,8597.0,,,,4.32,,SO
2003. 03,585.9,1252.9,73.157,,,,8823.0,,,,4.25,,SO
2003. 04,613.5,1213.1,73.157,,,,4896.0,,,,4.26,,SO
2003. 05,663.2,1206.6,73.157,,,,7101.0,,,,4.09,,SO
2003. 06,703.5,1193.1,73.027,,,,53348.0,,,,4.03,,SO
2003. 07,731.7,1180.0,72.895,,,,3350.0,,,,3.85,,SO
2003. 08,742.3,1179.9,73.223,,,,2688.0,,,,3.77,,SO
2003. 09,756.5,1150.2,73.877,,,,1499.0,,,,3.76,,SO
2003. 10,789.1,1177.3,73.943,,,,2347.0,,,,3.77,,SO
2003. 11,801.2,1202.6,73.943,61.6,50.5,,2137.0,,,,3.8,,SO
2003. 12,845.5,1197.8,74.26899999999999,61.2,50.0,,17337.0,,,,3.79,,SO
2004. 01,867.5,1173.6,74.72800000000001,61.0,49.8,,1411.0,,,,3.8,,SO
2004. 02,875.6,1174.5,75.055,61.4,50.0,,1218.0,,,,3.78,,SO
2004. 03,907.1,1153.6,75.775,61.7,50.3,,9620.0,,,,3.77,,SO
2004. 04,798.8,1167.7,75.709,62.1,50.3,,1717.0,,,,3.77,,SO
2004. 05,771.6,1165.7,75.775,62.2,50.2,,3149.0,,,,3.77,,SO
2004. 06,746.1,1152.5,75.775,62.1,49.7,,3122.0,,,,3.78,,SO
2004. 07,770.3,1168.3,76.233,61.9,49.4,,1538.0,,,,3.78,,SO
2004. 08,835.9,1153.8,76.821,61.5,48.9,,2398.0,,,,3.62,,SO
2004. 09,849.1,1147.9,76.887,61.3,48.6,,6712.0,,,,3.53,,SO
2004. 10,863.1,1126.0,77.01899999999999,61.1,48.4,,5418.0,,,,3.53,,SO
2004. 11,873.1,1047.9,76.56,60.8,48.1,,4678.0,,,,3.36,,SO
2004. 12,903.4,1043.8,76.626,60.6,47.6,,17141.0,,,,3.28,,SO
2005. 01,964.5,1026.4,77.362,60.4,47.3,,601.0,,,,3.27,,SO
