Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1992. 09,544.9,786.6,4.825849769198487,,,,,,,,-0.07000000000000028,,SO
1992. 10,645.1,782.4,4.182150003298224,,,,,,,,-2.960000000000001,,SO
1992. 11,650.3,785.1,4.273861660687972,,,,,,,,-1.6599999999999984,,SO
1992. 12,696.3,788.4,3.893093040549389,,,,,,,,-1.3800000000000008,,SO
1993. 01,668.8,794.0,4.05099643199025,,,,,,,,-2.5199999999999996,,SO
1993. 02,645.9,794.9,3.747037276449028,,,,,,,,-3.67,,SO
1993. 03,713.5,794.0,4.424247620680788,,,,,,,,-0.9599999999999991,,SO
1993. 04,719.8,795.9,4.482699846599614,,,,,,,,-2.4700000000000006,,SO
1993. 05,760.4,801.1,4.647255248101745,,,,,,,,-2.369999999999999,,SO
1993. 06,752.0,803.7,4.80298437864306,,,,,,,,0.5600000000000005,,SO
1993. 07,708.5,806.6,4.531051964512023,,,,,,,,2.8100000000000005,,SO
1993. 08,692.5,808.4,4.346635202899174,,,,,,,,2.539999999999999,,SO
1993. 09,733.0,808.8,4.951351807686621,,,,,,,,1.8100000000000005,,SO
1993. 10,798.4,808.2,5.295371562440643,,,,,,,,1.0199999999999996,,SO
1993. 11,848.8,807.6,4.77032545998064,,,,,,,,-1.4800000000000004,,SO
1993. 12,890.4,808.1,4.738008614561107,,,,,,,,-2.459999999999999,,SO
1994. 01,933.3,808.1,5.296060146628179,,,,,,,,-2.9299999999999997,,SO
1994. 02,889.2,808.0,5.400689711798989,,,,,,,,-1.58,,SO
1994. 03,884.0,806.5,5.444535073409473,,,,,,,,-0.16999999999999993,,SO
1994. 04,942.4,807.5,5.180683712044232,,,,,,,,0.07000000000000028,,SO
1994. 05,926.7,806.1,4.827586206896561,,,,,,,,0.17999999999999972,,SO
1994. 06,944.7,805.5,5.397595230878061,,,,,,,,1.9900000000000002,,SO
