Date Time,SO_Stock,GG_Stock,IC_Stock,BS_Stock,DG_Stock,GJ_Stock,DJ_Stock,US_Stock,GW_Stock,CB_Stock,CN_Stock,JB_Stock,JN_Stock,GB_Stock,GN_Stock,JJ_Stock,SO_Exchange,GG_Exchange,IC_Exchange,BS_Exchange,DG_Exchange,GJ_Exchange,DJ_Exchange,US_Exchange,GW_Exchange,CB_Exchange,CN_Exchange,JB_Exchange,JN_Exchange,GB_Exchange,GN_Exchange,JJ_Exchange,SO_MG,BS_MG,DG_MG,IC_MG,GJ_MG,DJ_MG,US_MG,GG_MG,GW_MG,CB_MG,CN_MG,JB_MG,JN_MG,GB_MG,GN_MG,JJ_MG,SO_MM,GG_MM,IC_MM,BS_MM,DG_MM,GJ_MM,DJ_MM,US_MM,GW_MM,CB_MM,CN_MM,JB_MM,JN_MM,GB_MM,GN_MM,JJ_MM,SO_JS,GG_JS,IC_JS,BS_JS,DG_JS,GJ_JS,DJ_JS,US_JS,GW_JS,CB_JS,CN_JS,JB_JS,JN_JS,GB_JS,GN_JS,JJ_JS,SO_JSratio,BS_JSratio,DG_JSratio,IC_JSratio,GJ_JSratio,DJ_JSratio,US_JSratio,GG_JSratio,GW_JSratio,CB_JSratio,CN_JSratio,JB_JSratio,JN_JSratio,GB_JSratio,GN_JSratio,JJ_JSratio,SO_Permits,IC_Permits,GG_Permits,BS_Permits,DG_Permits,GJ_Permits,DJ_Permits,US_Permits,GW_Permits,CB_Permits,CN_Permits,JB_Permits,JN_Permits,GB_Permits,GN_Permits,JJ_Permits,SO_Starts,IC_Starts,GG_Starts,BS_Starts,DG_Starts,GJ_Starts,DJ_Starts,US_Starts,GW_Starts,CB_Starts,CN_Starts,JB_Starts,JN_Starts,GB_Starts,GN_Starts,JJ_Starts,SO_Completed,IC_Completed,GG_Completed,BS_Completed,DG_Completed,GJ_Completed,DJ_Completed,US_Completed,GW_Completed,CB_Completed,CN_Completed,JB_Completed,JN_Completed,GB_Completed,GN_Completed,JJ_Completed,SO_Unsold,BS_Unsold,DG_Unsold,IC_Unsold,GJ_Unsold,DJ_Unsold,US_Unsold,GG_Unsold,GW_Unsold,CB_Unsold,CN_Unsold,JB_Unsold,JN_Unsold,GB_Unsold,GN_Unsold,JJ_Unsold,SO_Interest,GG_Interest,IC_Interest,BS_Interest,DG_Interest,GJ_Interest,DJ_Interest,US_Interest,GW_Interest,CB_Interest,CN_Interest,JB_Interest,JN_Interest,GB_Interest,GN_Interest,JJ_Interest,SO_JW,BS_JW,DG_JW,IC_JW,GJ_JW,DJ_JW,US_JW,GG_JW,GW_JW,CB_JW,CN_JW,JB_JW,JN_JW,GB_JW,GN_JW,JJ_JW
2000. 08,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,622.9,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,1108.8,2.456480295027652,1.8848489507264254,2.0995075974987065,3.219485311002579,2.616646129037159,2.2810425041781546,1.4883878102728065,2.5700646750846934,1.239830102895434,1.7605422590126762,1.0145123287260027,2.213494093289481,2.3394357743097283,1.3246986974287722,1.8815691404408197,1.6640418387662281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.067585675606527,-21.332313039869266,-4.381298900587466,-9.872892189855975,-11.312605821552339,-14.84892946481947,-10.034852420306965,-17.23360685675327,-8.16199612398152,-3.0838249845970047,-10.210176474627485,-3.9830205227153117,-3.112976473393579,-7.448689022018205,-4.840977321495366,-3.1389948690961686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,,,,,,,,,,,,,,,,
2000. 09,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,548.1,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,2.711622790027435,2.381387695401771,2.6366675160762965,3.8832888025261303,2.9686674216685693,2.7256425582785404,1.883029897095545,3.125620921026484,1.9254160856795322,2.226320251037306,1.365985908149736,3.134222195317582,2.9689528100616203,2.079154282032891,2.6200873362445476,2.3885491447309892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.7714130676211015,-21.70578368049251,-5.5670657013145535,-10.705377170348235,-14.134339164438678,-15.914426832736497,-10.697402597402597,-17.067666609851713,-8.217440040445407,-6.498851776479158,-12.587662798416082,-8.397582070621887,-3.9131061497118433,-7.7588465374196325,-9.696118865287321,-4.114425733456121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0600000000000005,,,,,,,,,,,,,,,,
2000. 10,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,544.1,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,1136.7,2.6952840283485546,2.682508574228315,2.869142418449222,3.734761897514738,3.224292699171971,2.9996407615854315,2.1466329579407084,3.023216714811938,2.494614070277068,2.496648294354231,1.5855446196188838,3.0468903573102724,2.935446934435748,2.432186472522302,2.6720390202523703,2.9300174882177066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3396608682694495,-20.712977614069676,-5.605371161495975,-14.05090669869354,-14.007794499730377,-16.624758411347848,-6.164982290436835,-14.26270422946748,-9.311917352459787,-7.161586788894908,-12.848433244066015,-8.326809061838002,-3.9795947347127942,-6.550129789295742,-10.493454337854597,-2.857650309169843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,0.23000000000000043,,,,,,,,,,,,,,,,
2000. 11,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,526.4,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,1195.3,2.5647000341753046,1.7530149098208714,2.608524907108123,3.3129226832388836,2.8363835349911826,2.4444411098272667,1.6740968485780217,2.497934958852155,2.2095243778719187,2.1444678404491935,1.7375710173757275,2.5968316531493896,2.4587106688349403,1.8498319674547403,2.016643382129635,2.1561658909426296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.686658813010827,-20.184266728921866,-6.077727785632119,-14.36620648765339,-17.602620037935495,-14.947131987208135,-6.193837072018889,-12.574691373055101,-9.350080048207657,-6.997712888108889,-12.765812904850193,-8.227879049559453,-2.966399365550573,-6.086888098286214,-10.265148532393644,-6.018911985265094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2400000000000002,,,,,,,,,,,,,,,,
2000. 12,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,1259.7,2.325545460164413,1.7131795942630035,2.327851618232346,3.2507763387108923,2.331590558795993,2.426887039167913,1.715607432256494,2.737009123363743,2.2136612831530567,2.1145610278372473,1.7107099446270313,2.3243568527155034,2.531457519349889,2.0176173879795867,2.3264256542126605,2.0261156975796446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.189692217289476,-18.09502563703493,-4.800879112918098,-13.745740153878257,-14.312990455791574,-15.643551541814425,-3.288382526564343,-11.592782877596239,-8.603387303103109,-6.836471499785295,-13.832992286387881,-7.3862129450973475,-2.8447554770829235,-4.5365991668022305,-9.939691320353562,-6.127121431390603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,0.22999999999999954,,,,,,,,,,,,,,,,
2001. 01,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,593.4,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,1265.5,3.0194835174982115,2.815551702108232,3.232913669064752,4.157218442932731,3.3335339975318456,3.3369696788559056,2.506692625943052,3.330699568467743,3.3156204206693296,3.122632399910863,2.514527047265336,2.9218100823446447,2.922202823069875,2.819237147595377,3.121516164994431,2.411197365325801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7644004464775223,-17.60614078320494,-4.887163129286348,-14.009983981955857,-14.22260140957136,-15.612454076391348,-5.9041794569067285,-11.521829116852125,-10.391993647210821,-7.5979257295420215,-13.51585067179382,-6.681526857636308,-4.969367988704226,-5.367841253898982,-9.36580408291828,-6.074562557558212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.15000000000000036,,,,,,,,,,,,,,,,
2001. 02,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,543.9,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,1245.7,3.008890251379537,3.1072932763688277,3.216666418121883,3.615683926967983,3.111490074645862,3.0077528572910905,2.9024667931688786,3.2126874697629315,3.2004359544604455,3.00347350528416,2.9966505396352927,3.005656125479428,2.503599659134337,2.806617894014396,3.3085752869682628,2.4030224487106455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5444602204834212,-17.90077213734188,-5.364704532881392,-13.780037287906028,-13.992375191845754,-16.303963504878205,-5.755466351829987,-11.34902237697533,-10.178138540850117,-8.754914956778256,-13.776621117443753,-6.342881815605894,-4.876435080123351,-6.3920591584561075,-9.086493789003285,-5.409847388501509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,,,,,,,,,,,,,,,,
2001. 03,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,530.3,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,1328.0,4.430730401058813,4.324480545161369,4.233041657318082,4.732884012068617,3.9202767254159054,4.634913067445345,4.229916685775437,4.225053400190859,4.728107867832265,4.330386986555745,4.426954501161839,4.526656477569002,3.717362442838179,4.128325922012355,4.429178342221807,3.408507329097765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7032324635268914,-17.278185606944916,-5.67571391564731,-13.284287805140973,-13.721208053185112,-16.091191373036096,-5.461369539551356,-10.636051523046577,-10.605848753571527,-9.925724874442228,-14.356254434754746,-6.040764778109098,-4.832613058190906,-6.116308184152266,-9.293981435911567,-4.539534271806337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,-0.33000000000000007,,,,,,,,,,,,,,,,
2001. 04,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,600.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,1324.7,5.35879844242535,5.369261171280182,4.741940796861677,5.669628713244723,4.958378574013755,5.470036836273251,5.2692289946015824,5.573185243950807,5.780692189343806,5.268428289591687,5.368681683676546,5.466111915098892,5.066547698713664,5.166329528843727,5.257903494176364,4.545320211602699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7096164173271515,-16.673073763758833,-5.31525566610174,-11.945530357579683,-12.869424217627563,-16.03063315089642,-6.172750885478156,-9.432126421388391,-10.399194155842494,-9.365657848061092,-14.241790839799494,-5.828445751757446,-5.47029903251821,-5.7263673850462915,-8.991077228970212,-3.9938494934876947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,,,,,,,,,,,,,,,,
2001. 05,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,602.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,1292.9,4.7228493756623635,4.7339170156071475,4.2217814694961,4.93402782989838,4.225436558495077,4.631779484431742,4.838635633292054,4.939433498284718,5.258376768428885,4.636569117297151,4.742571875375923,4.837474664064256,4.027847577379018,4.435140296753359,4.733496037843854,3.822040383822922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7803808554486846,-14.864240443395332,-4.928486595421456,-11.437698929873028,-11.76401935238153,-16.012629355125163,-7.243707201889018,-9.666731598042315,-10.042048927711484,-8.494296222998079,-14.233184554464511,-4.669442607909538,-5.35923287348253,-6.784493185177849,-8.762077484890838,-3.276575450598601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,-0.3700000000000001,,,,,,,,,,,,,,,,
2001. 06,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,554.1,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,1300.7,4.809738917387629,4.608671938914655,4.210651521008657,5.233560770788026,4.212744336182683,4.620937555700788,4.718577111243194,4.81827527818095,4.939573002345821,4.426932609115064,4.426954501161839,4.830831010818426,4.216157269592369,4.426231911680634,4.618642794917238,3.7182427664079087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3418375867721193,-13.201300441838953,-3.863826956682092,-10.122325891876125,-10.678819097467073,-15.287567398155511,-7.289208972845335,-8.994959701964982,-8.282244618130466,-8.600912977726333,-13.673776007690725,-3.9053985130813706,-3.4635526488531396,-5.931809340585501,-7.961966257849871,-4.374128404157343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,-0.3000000000000007,,,,,,,,,,,,,,,,
2001. 07,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,567.7,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,1301.4,4.493182442119381,4.490652019737129,4.087519971595932,4.178037494067399,3.2822854431974857,3.784667019961141,4.087902774204277,4.18712186040926,4.315069504970959,3.8948981697073393,3.489875053856095,4.2983527449286685,3.596826932946229,3.796933917626344,4.09077336518362,3.0967760792681043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.556662439937808,-10.443144579042483,-3.4891299098165596,-10.15740250622271,-8.745025208626368,-15.80067557763629,-7.781959858323494,-8.378119749689542,-7.616197569700662,-11.6329092063255,-13.701746435029413,-4.653461605926081,-3.2451980912931977,-6.018075016091042,-7.7756437388034705,-3.4852650966977983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,-0.3200000000000003,,,,,,,,,,,,,,,,
2001. 08,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,1283.8,3.8499253247243237,3.541824783844505,2.9530318962495805,3.3333333333333215,2.8537490284641587,3.051902711509369,3.1511004198478965,3.346573393407648,3.063511468156932,2.960516744740893,2.761286150952258,3.151963373833433,2.9615891736818556,2.6564539495388617,3.0508724140469567,2.169804515617124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1693870493402647,-8.523773702368294,-3.837980444155639,-10.56701941375893,-8.021912838864653,-16.164843264827592,-10.135844155844156,-7.068908422411059,-9.59129708736872,-11.319640223296805,-14.530101398521367,-5.352059692631517,-3.097865431347908,-5.862497612867175,-9.284613264562866,-2.9534929614524357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,-0.4300000000000006,,,,,,,,,,,,,,,,
2001. 09,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,523.3,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,1309.1,3.9534286706633726,3.5503399737564223,3.0569091414607064,3.447719370314406,2.658708627238182,2.851246875544966,3.4575345753457665,3.3498998590608897,2.558564304766331,2.6611051361799865,2.6666077686485767,2.9553325115924123,2.3605553228066567,2.3601060399799367,2.860683672415565,1.8703834358036575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0415364674855834,-3.9120818309944436,-3.1830731522054108,-8.952715673497252,-5.864273135560946,-15.717203433605922,-9.06599763872491,-6.3811147093915075,-9.162146772920975,-10.703632307089116,-13.819222229851908,-4.788919622738246,-2.516090312589586,-5.465077130913899,-9.721447624859733,-1.229871069596101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,-0.6799999999999997,,,,,,,,,,,,,,,,
2001. 10,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,604.9,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,1296.1,4.45891707686481,4.48172522325796,3.4725391194264876,3.8568711575036385,3.5725899429449814,3.470045407939071,4.183613299263689,3.963764979778217,3.072589002904702,2.776356379479239,3.4809657828469787,3.5728006146753755,3.0753549326538066,3.2764584147382925,3.780887168800229,2.985487416119592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.340563382657665,-0.04448652434437883,-2.4767049895064055,-7.243315334340389,-3.6539951053407624,-14.939766798028982,-8.523305785123966,-5.989724609803011,-8.16415627657102,-10.828676649054353,-13.67119412209023,-5.2911796850754875,-4.3996817035824405,-4.687190114794563,-9.857806563379723,-0.5466057097750248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,
2001. 11,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,3.6559399586233887,3.172343518199372,2.6696998605709066,2.856472176171132,2.6771607034745237,2.271633037160248,3.0751622667650302,2.956637956637964,1.7699756465267447,1.9746614242027283,2.1776656486522272,2.268617216790414,1.9734268368662766,2.078618482694994,2.468661305581832,1.7868557150328312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.258698861032464,1.553837773339209,-2.0414156692629892,-5.354244781697135,0.3810782579839855,-14.407018114070468,-7.973955135773316,-5.248143368477436,-7.897737457199099,-10.45091111069622,-13.344585593627688,-6.585640845735561,-3.3358643435672226,-3.6679586654689724,-6.511287576037951,-1.0582818050256497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,-0.9899999999999993,,,,,,,,,,,,,,,,
2001. 12,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,739.0,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,1326.1,2.836868837765172,2.152589765212376,1.5636569537000655,1.9462989840348222,1.4651694557317851,1.4678235719450372,1.8548195631528985,2.2439856479030906,0.48568031060618466,0.9752654248958992,1.174562825963088,1.3684256547020546,1.1759462917439123,1.1761347416500145,1.4638422205989654,0.5886068680372114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43122025006115,2.1134341521620668,-0.9581836861932399,-3.0867365342701802,1.8086934879914895,-12.737575233463144,-8.343518299881936,-2.8002386228055176,-7.4520259728985065,-9.017508074905251,-12.912980384078374,-6.185354796054669,-3.241420330781781,-1.9675774315158097,-5.8704352619249125,-0.4832258913300833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,-0.7999999999999998,,,,,,,,,,,,,,,,
2002. 01,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,774.4,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,1314.8,3.0177224231061173,1.9424893838987822,1.5574883694050357,1.8415275290311506,1.65677726356106,1.460683859083578,1.5533951937687362,2.624910281386894,0.5822748679891854,1.0705009542669508,0.5839162860611591,1.2648324423001567,1.5609322592666786,1.1689842762382163,1.6514161220043677,0.9781209781209554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.360573335620076,2.421476312763175,-1.09716672959896,-1.5075094083550855,2.2404341087609843,-12.52725816468075,-7.808595041322314,-1.9075945360247342,-7.403062514203126,-9.762509101771814,-13.499929043924102,-5.452511705098966,-3.7642623855619877,-1.7950460805047264,-5.945033663405315,0.53085120378898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,-0.6099999999999994,,,,,,,,,,,,,,,,
