Date Time,SO_Stock,GG_Stock,IC_Stock,BS_Stock,DG_Stock,GJ_Stock,DJ_Stock,US_Stock,GW_Stock,CB_Stock,CN_Stock,JB_Stock,JN_Stock,GB_Stock,GN_Stock,JJ_Stock,SO_Exchange,GG_Exchange,IC_Exchange,BS_Exchange,DG_Exchange,GJ_Exchange,DJ_Exchange,US_Exchange,GW_Exchange,CB_Exchange,CN_Exchange,JB_Exchange,JN_Exchange,GB_Exchange,GN_Exchange,JJ_Exchange,SO_MG,BS_MG,DG_MG,IC_MG,GJ_MG,DJ_MG,US_MG,GG_MG,GW_MG,CB_MG,CN_MG,JB_MG,JN_MG,GB_MG,GN_MG,JJ_MG,SO_MM,GG_MM,IC_MM,BS_MM,DG_MM,GJ_MM,DJ_MM,US_MM,GW_MM,CB_MM,CN_MM,JB_MM,JN_MM,GB_MM,GN_MM,JJ_MM,SO_JS,GG_JS,IC_JS,BS_JS,DG_JS,GJ_JS,DJ_JS,US_JS,GW_JS,CB_JS,CN_JS,JB_JS,JN_JS,GB_JS,GN_JS,JJ_JS,SO_JSratio,BS_JSratio,DG_JSratio,IC_JSratio,GJ_JSratio,DJ_JSratio,US_JSratio,GG_JSratio,GW_JSratio,CB_JSratio,CN_JSratio,JB_JSratio,JN_JSratio,GB_JSratio,GN_JSratio,JJ_JSratio,SO_Permits,IC_Permits,GG_Permits,BS_Permits,DG_Permits,GJ_Permits,DJ_Permits,US_Permits,GW_Permits,CB_Permits,CN_Permits,JB_Permits,JN_Permits,GB_Permits,GN_Permits,JJ_Permits,SO_Starts,IC_Starts,GG_Starts,BS_Starts,DG_Starts,GJ_Starts,DJ_Starts,US_Starts,GW_Starts,CB_Starts,CN_Starts,JB_Starts,JN_Starts,GB_Starts,GN_Starts,JJ_Starts,SO_Completed,IC_Completed,GG_Completed,BS_Completed,DG_Completed,GJ_Completed,DJ_Completed,US_Completed,GW_Completed,CB_Completed,CN_Completed,JB_Completed,JN_Completed,GB_Completed,GN_Completed,JJ_Completed,SO_Unsold,BS_Unsold,DG_Unsold,IC_Unsold,GJ_Unsold,DJ_Unsold,US_Unsold,GG_Unsold,GW_Unsold,CB_Unsold,CN_Unsold,JB_Unsold,JN_Unsold,GB_Unsold,GN_Unsold,JJ_Unsold,SO_Interest,GG_Interest,IC_Interest,BS_Interest,DG_Interest,GJ_Interest,DJ_Interest,US_Interest,GW_Interest,CB_Interest,CN_Interest,JB_Interest,JN_Interest,GB_Interest,GN_Interest,JJ_Interest,SO_JW,BS_JW,DG_JW,IC_JW,GJ_JW,DJ_JW,US_JW,GG_JW,GW_JW,CB_JW,CN_JW,JB_JW,JN_JW,GB_JW,GN_JW,JJ_JW
1990. 11,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,713.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990. 12,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,647.5,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,716.4,7.723860382323333,4.849860150931429,7.745925531645215,6.549773179061114,5.394763755369203,4.964242835517041,6.1076475994138235,7.390903098220192,6.107142857142844,6.246302504436985,6.540456299021491,6.560744747243619,6.457592686642966,6.113207547169819,6.5567246225405995,6.672961110544051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 01,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,654.7,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,719.0,9.654818426793256,7.165663438890335,8.722318578287203,7.524517237893047,6.594745526081991,6.457201965347825,7.596994703781235,8.590389256111619,7.400466011549001,7.429227986114517,8.347283518490322,7.532976092333055,7.961076938590295,7.0964155367026605,7.868277378393729,7.857775528280397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 02,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,670.6,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,724.4,9.44152647737939,8.034645996982782,9.354164593491898,8.37695023916256,7.761637421011547,7.2076457927641835,8.385466499840533,9.339472931137639,7.834240016044514,7.8422385719455034,8.783393229624803,7.9849754701553755,8.194919699278191,7.554181051016506,8.343952166241909,7.640740648441224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 03,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,638.3,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,724.7,9.326749548826951,8.249517684887465,9.425123853436013,8.393862019385722,8.191696157105133,7.528380295965964,8.621486798880662,9.35311083642356,9.074874546628898,8.35639312977099,8.081912619911535,8.409843943647722,7.794418811221582,8.091030026605829,8.255145828787548,8.776175424733301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 04,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,630.2,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,725.1,8.723135271807836,7.885066857201184,8.17646490974029,7.507301151004997,7.891561815182335,6.968859869412358,7.195762122773819,8.53007021471457,8.889709502708044,7.670347300868263,7.6076248645453814,7.384523394289677,7.486071576283959,7.6080054561275645,7.632965979875417,8.28428379533519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 05,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,604.7,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,723.0,8.266049625836946,8.277461952226783,8.467547497347837,6.78073820581766,7.633681022058281,6.968859869412358,6.775002987214718,7.783931416432743,8.673005577258541,7.445131848227504,7.400664288350334,6.8520997570528985,7.269460496285118,7.585171985275152,7.582825590251319,7.747454373131801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991. 06,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,646.3,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,723.1,8.523979816783434,9.890418656926103,8.538256291916046,6.7470934474874955,8.227276058333533,7.764818259514361,7.250416964498463,7.335509794073336,9.171764821503148,7.356126966186283,6.962226737496646,7.244043786220233,7.243222327021215,7.5699075699075635,8.082894174619003,8.888888888888902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,,,,,,,,,,,,,,,,
1991. 07,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,710.6,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,726.1,9.187261893132748,9.5412377684585,8.38968673086573,6.803839551246416,8.202830073796253,7.739302436215234,7.82803062728874,7.701928608950159,8.647086201406061,7.6274767583810466,6.635648339869915,7.412615012703805,7.104219257122257,7.542420287152729,8.072354851710495,8.864893850391198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,4.1999999999999975,,,,,,,,,,,,,,,,
1991. 08,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,684.3,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,735.6,9.417671169750896,9.028178556194,8.329575927288246,7.587139785985175,8.78345498783455,8.405312297169099,7.781953998534363,8.046748725599894,8.990405688404035,8.406944867499245,6.88503967485965,7.7716137267416,7.557235472835577,7.497683039851721,8.83187514778907,8.46400269769012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,,,,,,,,,,,,,,,,
