Permits	JS	p_corr
56	25	-0.40382250119174623
56	26	-0.40186948516043774
57	12	-0.4004759834848978
57	13	-0.4036549559184179
57	14	-0.4064951108222879
57	15	-0.40805534306484714
57	16	-0.40912301207340934
57	17	-0.4095301833996045
57	18	-0.4098230685023907
57	19	-0.410170993250754
57	20	-0.41012904333581107
57	21	-0.40943454467471624
57	22	-0.40810340831281056
57	23	-0.4062679850378726
57	24	-0.4046247490032222
57	25	-0.4031398851500409
57	26	-0.4017396949999407
58	13	-0.400834100374061
58	14	-0.4036483700655223
58	15	-0.4054475693811907
58	16	-0.4067086238122049
58	17	-0.4072453051873766
58	18	-0.40738707879998387
58	19	-0.407384382066138
58	20	-0.4073371468645541
58	21	-0.40699132306738045
58	22	-0.40613304488286495
58	23	-0.4048782362553617
58	24	-0.4032954226593742
58	25	-0.40201546713733194
58	26	-0.4009349449477784
59	14	-0.4006670010711639
59	15	-0.40247249884543185
59	16	-0.40397735223974274
59	17	-0.4047157544332299
59	18	-0.40497899122039843
59	19	-0.40483985578239934
59	20	-0.4044753372090304
59	21	-0.40413249481370345
59	22	-0.4036206405856782
59	23	-0.4028299754609324
59	24	-0.4018045120645529
59	25	-0.4005957454173911
