Completed	MM	p_corr
14	23	-0.48991431683932535
14	24	-0.4881441052302386
14	25	-0.4861027286939675
14	26	-0.48377725796790383
14	27	-0.48100964425662335
14	28	-0.47743260878546256
14	29	-0.4733149364657617
14	30	-0.46900316563442046
14	31	-0.4645414013348717
14	32	-0.45936011755199974
14	33	-0.453165803748653
14	34	-0.4455149844103824
14	35	-0.43721726921389636
15	2	-0.46615007111297646
15	3	-0.485741109728619
15	4	-0.49739743274773074
15	5	-0.5054197024591586
15	6	-0.5144507447474489
15	7	-0.5196966636294064
15	8	-0.5220990558581842
15	9	-0.5223287468956065
15	10	-0.5218363155121741
15	11	-0.5208761887095585
15	12	-0.5192344091404263
15	13	-0.5173256982917626
15	14	-0.5151724672546842
15	15	-0.5129263746896697
15	16	-0.511049471740778
15	17	-0.5090846242248747
15	18	-0.5073228651467793
15	19	-0.5058863029661046
15	20	-0.504466336879914
15	21	-0.5029761438299479
15	22	-0.5010371154226052
15	23	-0.4988656918622967
15	24	-0.49685227915629027
15	25	-0.4948601733098582
15	26	-0.49257036721625874
15	27	-0.48991429029329825
15	28	-0.48654728184500506
15	29	-0.4826638595765742
15	30	-0.47844108127230367
15	31	-0.47411159525272795
15	32	-0.4693901766246036
15	33	-0.46387398404856195
15	34	-0.4570001787373384
15	35	-0.44907230369954476
16	2	-0.4564407687507473
16	3	-0.48103324472019615
16	4	-0.49324330149908396
16	5	-0.5019951544058741
16	6	-0.5089641862104168
16	7	-0.5170989502088388
16	8	-0.5221787221073086
16	9	-0.5239701914239491
16	10	-0.5243506003878479
16	11	-0.5243413764563771
16	12	-0.5238824162306952
16	13	-0.5223682321955927
16	14	-0.5206201832878378
16	15	-0.5190126931535687
16	16	-0.517377710045828
16	17	-0.51587711576821
16	18	-0.5144189972661954
16	19	-0.5132735541685031
16	20	-0.512211541759079
16	21	-0.5109243261622473
16	22	-0.509283407524129
16	23	-0.5072298748913214
16	24	-0.5051899808051409
16	25	-0.5029744849960732
16	26	-0.5007457275669154
16	27	-0.4981294747986098
16	28	-0.49487606751888724
16	29	-0.49119599203965786
16	30	-0.4871868631341595
16	31	-0.48291772014654294
16	32	-0.4783217474189526
16	33	-0.4732500343236325
16	34	-0.46703068790270186
16	35	-0.4598571291670068
17	2	-0.4435245512680912
17	3	-0.4716322218989176
17	4	-0.4879530056055822
17	5	-0.49856975863761693
17	6	-0.5069554509333432
17	7	-0.5131842164728477
17	8	-0.5210719322400459
17	9	-0.525533384053402
17	10	-0.5277000284787953
17	11	-0.5286030676043358
17	12	-0.5291736995872909
17	13	-0.5287948916442644
17	14	-0.5273913020203285
17	15	-0.5261228931466659
17	16	-0.5250181427574583
17	17	-0.5236539899946749
17	18	-0.5225535640523552
17	19	-0.5216634957963885
17	20	-0.5208765661515862
17	21	-0.5199072814997255
17	22	-0.5185181973413523
17	23	-0.5167263013228943
17	24	-0.5147740281362467
17	25	-0.5125524566259796
17	26	-0.5101322194194123
17	27	-0.5076272541078815
17	28	-0.5043980491250154
17	29	-0.5007995716365444
17	30	-0.49695155524204376
17	31	-0.49285537808832364
17	32	-0.4882671676957984
17	33	-0.48328190128552956
17	34	-0.47745122058142664
17	35	-0.4708258867412784
18	2	-0.4342955632328948
18	3	-0.46131124475297935
18	4	-0.47969588844878913
18	5	-0.4936403393934737
18	6	-0.5039857164321795
18	7	-0.5119226058572434
18	8	-0.5179937995669363
18	9	-0.5252675965178206
18	10	-0.530154807225307
18	11	-0.5329579437454656
18	12	-0.5344658394313907
18	13	-0.535126695580331
18	14	-0.534855296524797
18	15	-0.5339082783818583
18	16	-0.533118452964375
18	17	-0.5322071499707796
18	18	-0.5311634767555734
18	19	-0.5305587696778681
18	20	-0.5300307736814106
18	21	-0.5293658965162658
18	22	-0.5283097339906639
18	23	-0.5268308706374496
18	24	-0.5251087467041845
18	25	-0.5229695831148456
18	26	-0.5205901568125674
18	27	-0.5179147389160718
18	28	-0.5148519831043363
18	29	-0.511253368374771
18	30	-0.5074637458218016
18	31	-0.5034931434817602
18	32	-0.49905242202232164
18	33	-0.49403549243703077
18	34	-0.4882624601159042
18	35	-0.481976307984217
19	2	-0.42563923530855796
19	3	-0.4516031862224747
19	4	-0.46944679066155254
19	5	-0.4846698397527685
19	6	-0.49762282775436134
19	7	-0.5073751598980102
19	8	-0.5151261184607507
19	9	-0.5211737486290879
19	10	-0.5285112305521779
19	11	-0.5338777653597307
19	12	-0.537306627142325
19	13	-0.5389785619188306
19	14	-0.5397861421698579
19	15	-0.539996679562874
19	16	-0.5395953865908657
19	17	-0.5390637613587386
19	18	-0.5385100916078324
19	19	-0.5380251663712035
19	20	-0.5378095029515677
19	21	-0.5374183406110841
19	22	-0.5366753000926832
19	23	-0.5355361357303613
19	24	-0.5341351572952691
19	25	-0.5322213019063107
19	26	-0.5299279447526847
19	27	-0.5272947272259211
19	28	-0.5240772619327737
19	29	-0.5206465679844641
19	30	-0.5168622652494794
19	31	-0.51295829363366
19	32	-0.508643059032097
19	33	-0.5037791651781975
19	34	-0.4979971755693468
19	35	-0.4917742679652085
20	2	-0.41773183285985727
20	3	-0.4427276264141442
20	4	-0.4604012189657976
20	5	-0.47537804403279044
20	6	-0.4893917981348587
20	7	-0.5015013178290055
20	8	-0.5109587044030296
20	9	-0.5186475692614488
20	10	-0.524815558844711
20	11	-0.5322651004485854
20	12	-0.5381291276651965
20	13	-0.5417777713319012
20	14	-0.5436666348737527
20	15	-0.5450366971106623
20	16	-0.5458008179233558
20	17	-0.5456945449411675
20	18	-0.5455565912275411
20	19	-0.5455821477797914
20	20	-0.5455370980320342
20	21	-0.5454707141436462
20	22	-0.5450162072249998
20	23	-0.5442084936848146
20	24	-0.543142823196629
20	25	-0.5415916958525536
20	26	-0.5395295092085098
20	27	-0.5369977144352736
20	28	-0.5338497458793303
20	29	-0.5302927910043455
20	30	-0.5266885896118005
20	31	-0.5227907326492858
20	32	-0.5185430458498617
20	33	-0.513805734122691
20	34	-0.5081773648290154
20	35	-0.5019416207428015
21	2	-0.4195127259435197
21	3	-0.43832902355132264
21	4	-0.45433114823839826
21	5	-0.4677531578177752
21	6	-0.4810273044793808
21	7	-0.4933650574000478
21	8	-0.5044094596126321
21	9	-0.5134145236715435
21	10	-0.5209415631242902
21	11	-0.5275379007014948
21	12	-0.5349129061541898
21	13	-0.5406818214102709
21	14	-0.5444393516676049
21	15	-0.5469385489788903
21	16	-0.5488805430941134
21	17	-0.54995601663427
21	18	-0.5503220422271907
21	19	-0.5508411809995218
21	20	-0.551361163312814
21	21	-0.5515422624937185
21	22	-0.5514491422684904
21	23	-0.5509498068806237
21	24	-0.5502228449456313
21	25	-0.5490164918449093
21	26	-0.5473215253730334
21	27	-0.545043616616958
21	28	-0.5420203485704069
21	29	-0.5385394484489437
21	30	-0.5348319663483811
21	31	-0.5311057720482487
21	32	-0.5268832815280018
21	33	-0.5222266886801302
21	34	-0.5167485405877148
21	35	-0.5106851212238751
22	2	-0.4146383765612918
22	3	-0.43529444150840657
22	4	-0.4481314391675498
22	5	-0.4605476151783207
22	6	-0.4721988102228489
22	7	-0.48382225123261813
22	8	-0.494893969745082
22	9	-0.5050917478870327
22	10	-0.5138261660203642
22	11	-0.5216576663560993
22	12	-0.5285440003100773
22	13	-0.5355625235653586
22	14	-0.5413181545167738
22	15	-0.5456524509673261
22	16	-0.5488357993892896
22	17	-0.5511572095611409
22	18	-0.5527680349337062
22	19	-0.5539137759939915
22	20	-0.555020390475346
22	21	-0.5558428679807927
22	22	-0.5560664522062847
22	23	-0.5559862579219583
22	24	-0.5555990957754623
22	25	-0.5547597969039713
22	26	-0.553434625135545
22	27	-0.5515318117907866
22	28	-0.5487883374704813
22	29	-0.5454554571322157
22	30	-0.5418486913769691
22	31	-0.538044749063228
22	32	-0.5340033678473035
22	33	-0.5293968712053482
22	34	-0.5240231089327996
22	35	-0.5181386568116132
23	2	-0.4082861424959333
23	3	-0.4291779108058982
23	4	-0.44360254764075624
23	5	-0.4533521093821429
23	6	-0.46420953764124734
23	7	-0.47408729134388794
23	8	-0.4843047419780538
23	9	-0.4941978111833966
23	10	-0.5037308133573686
23	11	-0.5126146203268955
23	12	-0.5205602825708023
23	13	-0.5273450933126846
23	14	-0.5339448362003946
23	15	-0.5400921175986121
23	16	-0.545050274750569
23	17	-0.5486550243564032
23	18	-0.5515567290085177
23	19	-0.5539827264012338
23	20	-0.5558020365366114
23	21	-0.5572922544608463
23	22	-0.5582333308621976
23	23	-0.5585342931907026
23	24	-0.5586070924538337
23	25	-0.5581399861047277
23	26	-0.5572179472519924
23	27	-0.5557230531946007
23	28	-0.5533858700792359
23	29	-0.5503863060939399
23	30	-0.5469626020510632
23	31	-0.5432796682338612
23	32	-0.5391923621948425
23	33	-0.5347765962423071
23	34	-0.5294849748228315
23	35	-0.5237182537870947
24	2	-0.40342625095941115
24	3	-0.4220841274718398
24	4	-0.4362317914854441
24	5	-0.44797427374312054
24	6	-0.4565662868482534
24	7	-0.4657873185917334
24	8	-0.4742336352623383
24	9	-0.4832818650518967
24	10	-0.4922639630445291
24	11	-0.5015310834919999
24	12	-0.5103384016626091
24	13	-0.5179812229300392
24	14	-0.5245374866806862
24	15	-0.53123850856391
24	16	-0.5378257577112813
24	17	-0.5431054478692643
24	18	-0.5473347217805693
24	19	-0.5510916131263652
24	20	-0.5542159573236846
24	21	-0.55647297921299
24	22	-0.5581310206509565
24	23	-0.5592054328519527
24	24	-0.5597319554282632
24	25	-0.5597719348310094
24	26	-0.559261174746608
24	27	-0.5581992463341835
24	28	-0.5562844522961538
24	29	-0.5537118422821173
24	30	-0.5506513676779246
24	31	-0.5471653383094073
24	32	-0.5432096229511866
24	33	-0.5387584807329449
24	34	-0.533646980174041
24	35	-0.5279758536015815
25	3	-0.4145585040560186
25	4	-0.4284371586463536
25	5	-0.4400814438214825
25	6	-0.44985176965695767
25	7	-0.4568400715116338
25	8	-0.4647093396749839
25	9	-0.4720169098851465
25	10	-0.4801492013651485
25	11	-0.48890184752786764
25	12	-0.4979399804359174
25	13	-0.5063640773562921
25	14	-0.5137071508918704
25	15	-0.5205952014216275
25	16	-0.5277762643216247
25	17	-0.5346505794730881
25	18	-0.5405919635280932
25	19	-0.5457564719821171
25	20	-0.5502736727267767
25	21	-0.5539145861445743
25	22	-0.5564567820872154
25	23	-0.5583263476889602
25	24	-0.5596901818136972
25	25	-0.5602591839541814
25	26	-0.5603385745497956
25	27	-0.559760671785963
25	28	-0.5583414644329282
25	29	-0.5562547871725168
25	30	-0.553653183523555
25	31	-0.5505447051371191
25	32	-0.5468130323435104
25	33	-0.542540864352397
25	34	-0.5374149331276826
25	35	-0.5319399180522921
26	2	-0.4057895647385013
26	3	-0.41611339190814045
26	4	-0.4252870751292853
26	5	-0.43579413039551285
26	6	-0.44495853413962544
26	7	-0.45242620230247294
26	8	-0.4578901476791703
26	9	-0.4644411519831789
26	10	-0.47069230666887707
26	11	-0.4784234977803062
26	12	-0.4867729667729496
26	13	-0.4951890558155135
26	14	-0.5031377997648736
26	15	-0.5106809141155456
26	16	-0.5181217854362931
26	17	-0.5253388422732586
26	18	-0.5327132063559442
26	19	-0.539455548949372
26	20	-0.5453356346536415
26	21	-0.5503095918062599
26	22	-0.5541682941285647
26	23	-0.5569175493231601
26	24	-0.5590762875575327
26	25	-0.5604741586552073
26	26	-0.5610768465301662
26	27	-0.5610780058962895
26	28	-0.560132122671238
26	29	-0.5585277526052083
26	30	-0.5563977049157994
26	31	-0.5537063414327895
26	32	-0.5503494216020538
26	33	-0.5463027066657362
26	34	-0.541334742820575
26	35	-0.5358310990761033
27	2	-0.4090956141619738
27	3	-0.42140527587720245
27	4	-0.4278357164447395
27	5	-0.4341707316841991
27	6	-0.4420108841648291
27	7	-0.448690082107361
27	8	-0.4542058699587413
27	9	-0.4582083806035496
27	10	-0.4635455503601476
27	11	-0.4691520984041123
27	12	-0.47624036235722944
27	13	-0.4836958224166775
27	14	-0.49132696000826453
27	15	-0.4992408311368346
27	16	-0.507133452122792
27	17	-0.5146701225788557
27	18	-0.5220270121372933
27	19	-0.529987607513654
27	20	-0.537305166604174
27	21	-0.5436395759016451
27	22	-0.5488328332711041
27	23	-0.5528793368984206
27	24	-0.555972680576252
27	25	-0.5582107510232797
27	26	-0.5596901673892555
27	27	-0.5602460365675014
27	28	-0.5599113572469043
27	29	-0.5587931975713333
27	30	-0.5571592046579594
27	31	-0.5549596033667253
27	32	-0.5520139536125773
27	33	-0.548371498098794
27	34	-0.5436436942962277
27	35	-0.5382905824015364
28	2	-0.41572505764760276
28	3	-0.42670178089324456
28	4	-0.43413198287934557
28	5	-0.4382462969409875
28	6	-0.44225549354123217
28	7	-0.4474499511865073
28	8	-0.45198181372319635
28	9	-0.45568652383241026
28	10	-0.4583318194304819
28	11	-0.4628964065997336
28	12	-0.4676513133521716
28	13	-0.4736682389987357
28	14	-0.4801293175307071
28	15	-0.48750597296319476
28	16	-0.49564135190689895
28	17	-0.5034619401930537
28	18	-0.5111741672392991
28	19	-0.5188527445219778
28	20	-0.5272108320410311
28	21	-0.5348723139054469
28	22	-0.5414381648987755
28	23	-0.5468422552407098
28	24	-0.5512388852881046
28	25	-0.5544623247604674
28	26	-0.5568246219347527
28	27	-0.5582988672765435
28	28	-0.5585371687232447
28	29	-0.5580540595357294
28	30	-0.5569224687048344
28	31	-0.5552439761354678
28	32	-0.5528040688831192
28	33	-0.5495740414449919
28	34	-0.5452723879063509
28	35	-0.5401676862073775
29	2	-0.41816529293855365
29	3	-0.4314706121032136
29	4	-0.438773468039457
29	5	-0.44393120553835397
29	6	-0.446261121742014
29	7	-0.44804561256644027
29	8	-0.45114973790412244
29	9	-0.45384150523867045
29	10	-0.45604135407800855
29	11	-0.45787703243971684
29	12	-0.46153135213840213
29	13	-0.46510821606092395
29	14	-0.470048020883388
29	15	-0.4761169854813318
29	16	-0.48353343395745424
29	17	-0.49141668254320653
29	18	-0.49923416771507023
29	19	-0.5073167556522293
29	20	-0.5150959415798687
29	21	-0.5235978423025999
29	22	-0.5313640608406813
29	23	-0.5381184974435513
29	24	-0.5438629483512204
29	25	-0.5483640064490453
29	26	-0.5517441660724152
29	27	-0.5541415499435985
29	28	-0.5553350078305929
29	29	-0.5554623079138441
29	30	-0.5549907792688701
29	31	-0.5538143487390359
29	32	-0.5518944709263357
29	33	-0.5491681043515733
29	34	-0.5452688000892776
29	35	-0.5406063031065078
30	2	-0.4210021538984176
30	3	-0.4341715773523543
30	4	-0.4429711494936419
30	5	-0.4482057452830989
30	6	-0.4514877022800601
30	7	-0.4519544883029637
30	8	-0.45199254491689644
30	9	-0.4533294854483
30	10	-0.4545675390478654
30	11	-0.4558835901646237
30	12	-0.4568755400472945
30	13	-0.45935925701244223
30	14	-0.46189387288202344
30	15	-0.466441810065967
30	16	-0.4725168141805196
30	17	-0.4795667480470546
30	18	-0.48734451689828284
30	19	-0.495428400280466
30	20	-0.5036096584277175
30	21	-0.5113504789392345
30	22	-0.5198074690942063
30	23	-0.527670982957281
30	24	-0.5347114262045126
30	25	-0.5405231136172791
30	26	-0.5451378529206322
30	27	-0.5485562011014442
30	28	-0.5506828145935604
30	29	-0.5517881876858306
30	30	-0.551955251597232
30	31	-0.5514565993863884
30	32	-0.5500350849043468
30	33	-0.5478194444862535
30	34	-0.544416832725894
30	35	-0.5401485706687766
31	2	-0.4302624262287552
31	3	-0.4397968031218158
31	4	-0.44757066796492456
31	5	-0.4535455919246958
31	6	-0.45672481716664537
31	7	-0.4578880965065453
31	8	-0.4567039746217215
31	9	-0.4552148230558414
31	10	-0.4551388074462144
31	11	-0.4554603904145868
31	12	-0.45585055619719034
31	13	-0.45578596804722893
31	14	-0.45721438906552775
31	15	-0.4594007458382864
31	16	-0.46396951510625445
31	17	-0.4696854561194034
31	18	-0.4766508861480761
31	19	-0.48464819754377036
31	20	-0.4928018012432449
31	21	-0.5008848274081646
31	22	-0.508492474297417
31	23	-0.5169210642864638
31	24	-0.5249911677894401
31	25	-0.5320286975828507
31	26	-0.5378990351109437
31	27	-0.5424970169861302
31	28	-0.545599380774218
31	29	-0.5476143871537887
31	30	-0.548753770922154
31	31	-0.5489058615570462
31	32	-0.5481579687883743
31	33	-0.5464386383766183
31	34	-0.5435444980368285
31	35	-0.539780695336393
32	2	-0.4443822017516752
32	3	-0.4525208233622226
32	4	-0.4572075616395649
32	5	-0.4618822884184827
32	6	-0.46523436858601114
32	7	-0.4661046490193557
32	8	-0.46531723684148724
32	9	-0.4625388296589582
32	10	-0.45977571697021785
32	11	-0.45870090960063453
32	12	-0.4579417558183178
32	13	-0.45721709710771713
32	14	-0.4561036886407342
32	15	-0.45716215084704254
32	16	-0.4592707909378557
32	17	-0.463339145609885
32	18	-0.468755465820137
32	19	-0.4756446433424146
32	20	-0.483452524105416
32	21	-0.49128488540130516
32	22	-0.4992019278318862
32	23	-0.5064499337700392
32	24	-0.5148248853169402
32	25	-0.522690862134955
32	26	-0.5296952824629027
32	27	-0.5354654850135812
32	28	-0.5396786980334287
32	29	-0.5426377952027372
32	30	-0.5446746158109556
32	31	-0.5457985891900256
32	32	-0.5457302285220577
32	33	-0.5446968008363867
32	34	-0.5422867845655717
32	35	-0.5390254605650624
33	2	-0.4549707866452685
33	3	-0.4652740245090262
33	4	-0.46956021633042844
33	5	-0.47226968729545765
33	6	-0.47462057573264965
33	7	-0.4756347816273093
33	8	-0.47460828315834
33	9	-0.47219134045548167
33	10	-0.4682914557491571
33	11	-0.4647143675805799
33	12	-0.46259068111318064
33	13	-0.4607009525807439
33	14	-0.45889902031651836
33	15	-0.45736854644004105
33	16	-0.45830233379490043
33	17	-0.45985337532402903
33	18	-0.463543536735662
33	19	-0.46875366038095473
33	20	-0.47525720401954896
33	21	-0.4825959670800028
33	22	-0.49012114898788267
33	23	-0.4976807949204478
33	24	-0.5046888364809764
33	25	-0.5127063083038067
33	26	-0.5204116771024919
33	27	-0.5272634009078618
33	28	-0.5325925979995414
33	29	-0.536624724160593
33	30	-0.5396146044690207
33	31	-0.5416505278954712
33	32	-0.5425692168609162
33	33	-0.5422301155402214
33	34	-0.540517171871924
33	35	-0.5377523187723728
34	2	-0.46357357460280596
34	3	-0.47552128313919684
34	4	-0.4817910262801412
34	5	-0.48459617425795865
34	6	-0.4856005595502612
34	7	-0.48585177746032104
34	8	-0.48498744611767225
34	9	-0.48237775414796874
34	10	-0.4788355551270687
34	11	-0.4742268636520279
34	12	-0.4697008944290969
34	13	-0.4664375276370288
34	14	-0.4634520156692404
34	15	-0.4611625100402358
34	16	-0.45944569368816757
34	17	-0.4597626777657922
34	18	-0.4608618064402248
34	19	-0.46427166498381733
34	20	-0.46898954871076054
34	21	-0.47488956370872676
34	22	-0.48181724002061754
34	23	-0.48885498618078926
34	24	-0.4961655539306569
34	25	-0.5026528200845792
34	26	-0.5103667373255991
34	27	-0.5178118840266552
34	28	-0.5241780883731219
34	29	-0.5292936280015905
34	30	-0.5333299491808242
34	31	-0.5363373784699189
34	32	-0.5381787999808747
34	33	-0.5388488016520285
34	34	-0.53784576228309
34	35	-0.5357970214174703
35	2	-0.4616379494483379
35	3	-0.4784575012513188
35	4	-0.48775112209670407
35	5	-0.493278359345437
35	6	-0.4952536599183495
35	7	-0.49493652107312164
35	8	-0.4937923397333643
35	9	-0.4916170792330029
35	10	-0.48814983875600104
35	11	-0.48407582723631226
35	12	-0.4788106725884174
35	13	-0.47346882213707414
35	14	-0.4692895297325045
35	15	-0.4659735467950673
35	16	-0.4635697104482662
35	17	-0.4614136891349955
35	18	-0.46134028315235187
35	19	-0.4622139332506995
35	20	-0.4651752426049566
35	21	-0.46932805235389985
35	22	-0.4747847459084496
35	23	-0.4811776710537859
35	24	-0.48792260074617844
35	25	-0.4947204039479991
35	26	-0.5008804385782154
35	27	-0.5082641452694677
35	28	-0.5151463422994114
35	29	-0.5212436831632313
35	30	-0.5263143601616277
35	31	-0.530319582126611
35	32	-0.5331045116732948
35	33	-0.5346740333396283
35	34	-0.5346578247271168
35	35	-0.5333014253499376
36	2	-0.4593439451562116
36	3	-0.4764696212754237
36	4	-0.48915496245185375
36	5	-0.497337178131824
36	6	-0.5019392762918363
36	7	-0.5028335250618138
36	8	-0.5014296920830721
36	9	-0.4991419531935076
36	10	-0.4962170145921451
36	11	-0.4923482008662078
36	12	-0.48768766687272735
36	13	-0.48176422848668415
36	14	-0.47568929220627865
36	15	-0.4713415374889543
36	16	-0.4681039062280089
36	17	-0.4653101939968332
36	18	-0.4628709851404185
36	19	-0.46258812705676045
36	20	-0.46302663518371123
36	21	-0.46542200765267167
36	22	-0.46914477842180635
36	23	-0.4740851965285429
36	24	-0.4801624968576817
36	25	-0.4863463651336883
36	26	-0.4928315544209264
36	27	-0.4986031054077482
36	28	-0.50532597154074
36	29	-0.5118705219394805
36	30	-0.5178879972582928
36	31	-0.52290302027474
36	32	-0.5266468749178991
36	33	-0.5291356654165342
36	34	-0.5299964267496924
36	35	-0.5296132030632716
37	2	-0.4602302901272871
37	3	-0.47552028371645844
37	4	-0.4878808254087597
37	5	-0.49843561267275655
37	6	-0.5051932306321818
37	7	-0.5084365240640617
37	8	-0.5082687555386737
37	9	-0.5058974488782972
37	10	-0.502968679025445
37	11	-0.4996563786830931
37	12	-0.49521460334420314
37	13	-0.4898780830551915
37	14	-0.48328876470488724
37	15	-0.47717562245706063
37	16	-0.4729880606733583
37	17	-0.46943703650014096
37	18	-0.4663808709757795
37	19	-0.463865972601074
37	20	-0.4632126392415279
37	21	-0.46323188273913724
37	22	-0.46530488741177123
37	23	-0.4686426595696198
37	24	-0.4733549875019941
37	25	-0.47895419075008155
37	26	-0.4848980232526966
37	27	-0.4910017546176423
37	28	-0.496290627638847
37	29	-0.5027790108652401
37	30	-0.5093004105675342
