Starts	JS	p_corr
57	10	-0.5467714126584157
57	11	-0.5422198467543384
57	12	-0.5374276000934276
57	13	-0.5322393121022784
57	14	-0.5256553542649436
57	15	-0.5182248712968551
57	16	-0.5103074799811633
57	17	-0.5023883926695358
57	18	-0.4946623994782431
57	19	-0.4870627773670253
57	20	-0.48081809898032707
57	21	-0.47454959426831156
57	22	-0.46845842475835664
57	23	-0.4620754198766666
57	24	-0.45563076909508027
57	25	-0.4488628687319559
57	26	-0.4414536579499714
57	27	-0.4334677502778209
57	28	-0.4245663863267434
57	29	-0.41554766714810676
57	30	-0.40635849948851316
58	2	-0.5325896217440306
58	3	-0.5415700711433896
58	4	-0.5441724432598146
58	5	-0.5450646215035916
58	6	-0.5465585835310774
58	7	-0.5474272207038933
58	8	-0.5472789547456621
58	9	-0.5452198452099526
58	10	-0.5416713990739194
58	11	-0.5375180642201247
58	12	-0.5331352505161043
58	13	-0.5285680538061347
58	14	-0.5229545563201459
58	15	-0.5167289935690377
58	16	-0.5099180532953373
58	17	-0.5029749319633154
58	18	-0.4960050305696457
58	19	-0.48900082453876476
58	20	-0.4821825652875501
58	21	-0.47587369584000283
58	22	-0.4694186082528705
58	23	-0.4631478516446465
58	24	-0.45671891248881274
58	25	-0.45000346092923843
58	26	-0.44325286229255284
58	27	-0.43582710770803434
58	28	-0.427876062706311
58	29	-0.4194886014150281
58	30	-0.4110306316616839
58	31	-0.4023061077226064
59	2	-0.5221838263505434
59	3	-0.5338614146343759
59	4	-0.5382463897088932
59	5	-0.5397222886540094
59	6	-0.5407502316915652
59	7	-0.5414463157937756
59	8	-0.5414519000902729
59	9	-0.5401629480795029
59	10	-0.5374860753414221
59	11	-0.5338794143989758
59	12	-0.5297137048457025
59	13	-0.5254972740995845
59	14	-0.5205125551750306
59	15	-0.5152429621738435
59	16	-0.5094597469497862
59	17	-0.5034883944946082
59	18	-0.49735885119626994
59	19	-0.4909432018881749
59	20	-0.484660711900923
59	21	-0.47807017536485485
59	22	-0.4717478682981408
59	23	-0.4654002484555221
59	24	-0.45918209519250786
59	25	-0.45263984883911385
59	26	-0.4462034597380328
59	27	-0.43952668501099923
59	28	-0.4321969703508948
59	29	-0.42472967499189695
59	30	-0.41682885920830587
59	31	-0.40878109671628643
59	32	-0.40026238652593993
