MM,JS,p_corr
22,10,0.7108305098671284
22,11,0.7194216737058174
22,12,0.7345043528425703
22,13,0.7407787184211754
22,14,0.7535510431351755
22,15,0.7574920653196151
22,16,0.7689404595986199
22,17,0.7714864576314037
22,18,0.7818598662856834
22,19,0.7821748555453439
22,20,0.7901040590225183
22,21,0.7876863577534732
22,22,0.7929032331484339
22,23,0.7860807873783124
23,4,0.6044962384020484
23,5,0.6270404598850122
23,6,0.6479058048153831
23,7,0.6628371677997622
23,8,0.6785402351052123
23,9,0.6901159632226629
23,10,0.7042413869336729
23,11,0.7143150721445025
23,12,0.7284014494937172
23,13,0.7363942003512274
23,14,0.7484174662255093
23,15,0.7541434085626969
23,16,0.7648901532666151
23,17,0.7693635468389398
23,18,0.7790518482859017
23,19,0.7817406679656593
23,20,0.7888299108373047
23,21,0.7890405901131265
23,22,0.7932951242191724
23,23,0.7917191267694791
