MM,Stock,p_corr
1,1,0.7664299665484902
1,10,-0.3025892959334478
1,11,-0.313712296480868
1,12,-0.3333639216432221
1,13,-0.3479061259168008
1,14,-0.3687135245333508
1,15,-0.3848132083163158
1,16,-0.4057885484546097
1,17,-0.419127447381445
1,18,-0.4386664065037988
1,19,-0.4536281426657744
1,20,-0.47052505091234664
1,21,-0.4790408762105177
1,22,-0.48714386406487625
1,23,-0.4923532789402169
