MM,Completed,p_corr
13,9,-0.5131723618791825
13,10,-0.5230992926359771
13,11,-0.5297460889552728
13,12,-0.532478447612913
13,13,-0.5328388857419423
13,14,-0.5300795742211936
13,15,-0.5260975403617049
13,16,-0.5194583848174252
13,17,-0.5125809896937935
13,18,-0.5052464837860173
13,19,-0.49612028443051653
13,20,-0.48571414593123907
13,21,-0.47521875095605587
13,22,-0.46538516310922695
13,23,-0.4568721298059171
13,24,-0.4509485694206964
13,25,-0.4459694867628379
13,26,-0.44558638940632717
13,27,-0.44723042823877557
13,28,-0.45103377026872626
13,29,-0.4556815404782909
13,30,-0.462191336277372
13,31,-0.4682070115121731
13,32,-0.47366787997925086
13,33,-0.4796086783749335
13,34,-0.4856755520682786
13,35,-0.4913758086358328
13,36,-0.496893174563222
13,37,-0.5015151086981826
13,38,-0.5052321947921902
13,39,-0.5079550433648297
13,40,-0.5103105485623936
13,41,-0.512573867037289
14,4,-0.40565765576148977
14,5,-0.4355853435497869
14,6,-0.46036229368702686
14,7,-0.48231478394052724
14,8,-0.49959267272068375
14,9,-0.5128912256885396
14,10,-0.5231131662718075
14,11,-0.5302716903666659
14,12,-0.5345538686766286
14,13,-0.5361083837827354
14,14,-0.5345622649720625
14,15,-0.5323117919315812
14,16,-0.527654700000178
14,17,-0.522120272455774
14,18,-0.5145036797193293
14,19,-0.5064249513815162
14,20,-0.4969339104356055
14,21,-0.4866388470217936
14,22,-0.475951616707326
14,23,-0.4660849144981502
14,24,-0.45790114391271647
14,25,-0.4518239917152592
14,26,-0.4490279584095828
14,27,-0.4499397494145889
14,28,-0.4527162131684544
14,29,-0.456094297878368
14,30,-0.46051325389831416
14,31,-0.46579440215514506
14,32,-0.47169581914093084
14,33,-0.47774961528738163
14,34,-0.4842806869262564
14,35,-0.49004195402288375
14,36,-0.4956466592632928
14,37,-0.5012367460496269
14,38,-0.5063610330733411
14,39,-0.5100709460061905
14,40,-0.5132125759694517
14,41,-0.5153348501841442
15,4,-0.4124491593376665
15,5,-0.44063302376007124
15,6,-0.46331581813415157
15,7,-0.48418233172592084
15,8,-0.5005564263110062
15,9,-0.5132370462455855
15,10,-0.5222784550314561
15,11,-0.5290275591847998
15,12,-0.532852169548694
15,13,-0.5339297868908166
15,14,-0.532411000783967
15,15,-0.529212142512859
15,16,-0.5237014792482063
15,17,-0.5165364865385573
15,18,-0.5079029994855041
15,19,-0.4988748955874126
15,20,-0.48920396091427054
15,21,-0.4789865642223382
15,22,-0.46818000766834983
15,23,-0.4583446417795179
15,24,-0.45089845583334026
15,25,-0.4462143794416327
15,26,-0.4447624915594189
15,27,-0.4462197022724631
15,28,-0.44847261335627775
15,29,-0.45172140479800826
15,30,-0.45567321539818484
15,31,-0.46055748147812725
15,32,-0.4666692287342252
15,33,-0.47275580629464176
15,34,-0.4787606458955332
15,35,-0.48407967220337794
15,36,-0.4898977116467825
15,37,-0.4955911966944946
15,38,-0.5006899768974294
15,39,-0.504533408066809
15,40,-0.5076302054355605
15,41,-0.5100777186813519
16,4,-0.410804833325852
16,5,-0.4391618025952137
16,6,-0.46195976969369373
16,7,-0.4830114978205007
16,8,-0.4998217406839342
16,9,-0.5127558585091577
16,10,-0.5224461618911926
16,11,-0.5297219906059442
16,12,-0.5341993796679412
16,13,-0.536735083813608
16,14,-0.536435377660067
16,15,-0.5345619780527358
16,16,-0.5307391071508077
16,17,-0.5255540165148315
16,18,-0.5180806413890505
16,19,-0.5090590500546441
16,20,-0.5002416233153475
16,21,-0.4905582854523021
16,22,-0.47947106548626767
16,23,-0.46855465429039317
16,24,-0.45966323400400333
16,25,-0.4526982937415944
16,26,-0.45003240995527755
16,27,-0.44906702700791357
16,28,-0.4505781377577604
16,29,-0.4530070836958554
16,30,-0.45597681450338456
16,31,-0.45908847008119696
16,32,-0.46459275347810064
16,33,-0.4711036407117132
16,34,-0.47731180050430555
16,35,-0.48317536046153803
16,36,-0.4892178120265113
16,37,-0.4951143018799202
16,38,-0.5012196767484223
16,39,-0.5063885363058963
16,40,-0.5104646469167661
16,41,-0.5137342244212386
17,4,-0.4136462699332216
17,5,-0.44061794842884516
17,6,-0.4623665065199159
17,7,-0.4826709147513465
17,8,-0.4992178266863133
17,9,-0.5114707425608738
17,10,-0.5209896830922037
17,11,-0.5280596852786216
17,12,-0.5320825303745078
17,13,-0.5348437371569467
17,14,-0.5336587657834596
17,15,-0.5309558767832465
17,16,-0.5254677688295911
17,17,-0.5191318618166165
17,18,-0.5105887059176356
17,19,-0.5013811598102382
17,20,-0.4922810824204784
17,21,-0.4822772127184914
17,22,-0.47111372061175355
17,23,-0.4607874215004001
17,24,-0.453164220642609
17,25,-0.4474698365311557
17,26,-0.4453585150230132
17,27,-0.444060337348527
17,28,-0.4456390602270284
17,29,-0.4479264806745737
17,30,-0.45069873084292583
17,31,-0.4540753522340493
17,32,-0.4596517180217881
17,33,-0.4657917506559249
17,34,-0.47166768412339144
17,35,-0.47792037217353134
17,36,-0.48407857271982024
17,37,-0.49001594510236174
17,38,-0.49625081205988025
17,39,-0.5013373675454155
17,40,-0.5058176008441281
17,41,-0.5083965789208258
18,4,-0.41149707376053446
18,5,-0.4386340945162757
18,6,-0.46091266223017385
18,7,-0.481458172777298
18,8,-0.4983267628016115
18,9,-0.5111667510698182
18,10,-0.521048849658401
18,11,-0.5288480557225287
18,12,-0.5335510590670386
18,13,-0.5369926368363843
18,14,-0.5372364947224437
18,15,-0.5358235979528384
18,16,-0.5317222190634557
18,17,-0.5272147923259328
18,18,-0.5205717640846999
18,19,-0.5119882394720533
18,20,-0.502912210533406
18,21,-0.493444674197664
18,22,-0.4825804079931906
18,23,-0.47166829035833374
18,24,-0.462706448594436
18,25,-0.4554441273894275
18,26,-0.45104548272113854
18,27,-0.44853673997395566
18,28,-0.44786717554477473
18,29,-0.44949735942284813
18,30,-0.4516658273144313
18,31,-0.454178004689214
18,32,-0.45818078191815564
18,33,-0.46387673105856136
18,34,-0.4702964073987506
18,35,-0.47683400320832275
18,36,-0.48358063555530206
18,37,-0.4897105711486258
18,38,-0.4962733419762905
18,39,-0.5023535481533906
18,40,-0.5081481680220188
18,41,-0.5116648464864137
19,4,-0.41134053739643645
19,5,-0.4375936377113721
19,6,-0.45891113619389023
19,7,-0.4794825411437816
19,8,-0.49597893269534443
19,9,-0.5088564774563139
19,10,-0.518766771572072
19,11,-0.5261917488890936
19,12,-0.5313793574788034
19,13,-0.5340603965729496
19,14,-0.5335909967087591
19,15,-0.5306302471371627
19,16,-0.5255933683607852
19,17,-0.519806306480022
19,18,-0.512595007955011
19,19,-0.5034569221760465
19,20,-0.4939967995505473
19,21,-0.484264579454412
19,22,-0.4737530599709938
19,23,-0.4638623273554651
19,24,-0.4560430066701168
19,25,-0.44932167406229356
19,26,-0.4446752116694252
19,27,-0.44242486522523183
19,28,-0.44176327484831535
19,29,-0.4432963693880786
19,30,-0.44575734442161935
19,31,-0.44848037598248847
19,32,-0.45230100293153747
19,33,-0.45778893354114913
19,34,-0.4645684591761097
19,35,-0.47128700377813254
19,36,-0.47803129525015375
19,37,-0.4843714275245551
19,38,-0.4908691201986567
19,39,-0.497362547916697
19,40,-0.5022737035569248
19,41,-0.5060844500662025
20,4,-0.4084040468038138
20,5,-0.4353477126585721
20,6,-0.45694284034871097
20,7,-0.47799210219471744
20,8,-0.49481831666410264
20,9,-0.5080971423449484
20,10,-0.5185981497406537
20,11,-0.5265354599866711
20,12,-0.5325226690837108
20,13,-0.5359327401577616
20,14,-0.5362419774064882
20,15,-0.5347502895873458
20,16,-0.5310690847634622
20,17,-0.5267714158449804
20,18,-0.5213987607974336
20,19,-0.5138092234765177
20,20,-0.5045307693068535
20,21,-0.4948792886103006
20,22,-0.4846168751947231
20,23,-0.4747454262943046
20,24,-0.4659699962420959
20,25,-0.45787039100215565
20,26,-0.4517122657830006
20,27,-0.4472462699600952
20,28,-0.4454246444369113
20,29,-0.44480925887313155
20,30,-0.44664420189920595
20,31,-0.44881701273854463
20,32,-0.45192294791126775
20,33,-0.4560356684446372
20,34,-0.46246804416007464
20,35,-0.46973767204453115
20,36,-0.476796707823074
20,37,-0.4837027381708287
20,38,-0.49049956557491564
20,39,-0.4973991081693595
20,40,-0.5032810689283941
20,41,-0.5083080391497679
21,4,-0.4056659284028952
21,5,-0.43203255757285186
21,6,-0.4539128471591574
21,7,-0.47494897904214434
21,8,-0.49212523947689424
21,9,-0.5054303503001483
21,10,-0.515833207538604
21,11,-0.5245045575285373
21,12,-0.5298565635400396
21,13,-0.5327080595278115
21,14,-0.5314399353977749
21,15,-0.529115785834922
21,16,-0.5242580101571505
21,17,-0.5195060419630229
21,18,-0.5132564485522076
21,19,-0.5050230752410882
21,20,-0.4953815315132543
21,21,-0.4859306934144744
21,22,-0.47649033754126363
21,23,-0.4674816712641902
21,24,-0.45915350555583356
21,25,-0.45091319312298345
21,26,-0.44514744461968125
21,27,-0.44070754265234113
21,28,-0.43892088627236325
21,29,-0.43865196896053504
21,30,-0.4407833331509928
21,31,-0.4429676453365793
21,32,-0.44605643119661675
21,33,-0.4506576851352865
21,34,-0.4573479071791081
21,35,-0.4645117436219683
21,36,-0.47183996200136274
21,37,-0.4787428520279771
21,38,-0.4860099245695675
21,39,-0.4918835252406425
21,40,-0.4980528449652774
21,41,-0.5023772203127463
22,4,-0.40252907893843254
22,5,-0.4292899225168615
22,6,-0.45174153540550516
22,7,-0.47313833778923614
22,8,-0.490772945783881
22,9,-0.5044398888997653
22,10,-0.515246601790561
22,11,-0.5245968347718488
22,12,-0.5305514754036627
22,13,-0.5342210391357957
22,14,-0.5337298206494492
22,15,-0.5322547976051507
22,16,-0.5288757012149632
22,17,-0.5255802534437224
22,18,-0.5209179175137925
22,19,-0.514292441197288
22,20,-0.5060116519411882
22,21,-0.49632295870355225
22,22,-0.4869658618038515
22,23,-0.47788264604916614
22,24,-0.4692928205326026
22,25,-0.4600699079261001
22,26,-0.4530045549352747
22,27,-0.44704617420501513
22,28,-0.44303504490327106
22,29,-0.44160091620212844
22,30,-0.44166615550487814
22,31,-0.4433097803508457
22,32,-0.4459312071256601
22,33,-0.44993467355474376
22,34,-0.45533971192004125
22,35,-0.46222577271635057
22,36,-0.4701279795104405
22,37,-0.47735156183909727
22,38,-0.48527022454944174
22,39,-0.49147315992203167
22,40,-0.498034671463564
22,41,-0.5032661744515823
23,5,-0.42653955684979683
23,6,-0.44924048890486684
23,7,-0.4710710110131046
23,8,-0.4886758504102632
23,9,-0.5023188282911893
23,10,-0.5140469959583674
23,11,-0.5227608206512456
23,12,-0.528242793867262
23,13,-0.5302339021093225
23,14,-0.5290651995949516
23,15,-0.5264456872918789
23,16,-0.5227974666158214
23,17,-0.5185651250039718
23,18,-0.5132224484183769
23,19,-0.5060804215870353
23,20,-0.4976829777895147
23,21,-0.488649909806224
23,22,-0.4799749116012665
23,23,-0.4711705448493679
23,24,-0.4624640966924339
23,25,-0.4537045381738109
23,26,-0.44668585980107134
23,27,-0.4408341496701793
23,28,-0.4371787885406114
23,29,-0.4360933422677667
23,30,-0.4363376837818418
23,31,-0.43812141243302505
23,32,-0.4413807950370109
23,33,-0.4458102019376108
23,34,-0.45108220428477497
23,35,-0.458293306474565
23,36,-0.4662149652595138
23,37,-0.4739408657112522
23,38,-0.480748759024316
23,39,-0.48728957721185795
23,40,-0.4930788647456695
23,41,-0.4975562008449421
