MM,MG,p_corr
1,1,0.8621949174342445
1,7,-0.42779126922646105
1,8,-0.4527751034347324
1,9,-0.4693111455151839
1,10,-0.48609510582972154
1,11,-0.5105877222994899
1,12,-0.540066333867948
1,13,-0.5626247971465533
1,14,-0.5613041208706715
1,15,-0.5603512066572934
1,16,-0.559027960745736
1,17,-0.573387556987444
1,18,-0.5832759991734211
1,19,-0.594262015030353
1,20,-0.5999211824201462
1,21,-0.6040607349000828
1,22,-0.6095373546799112
1,23,-0.621222626342884
