MM,Unsold,p_corr
38,33,-0.4612512214151583
38,34,-0.4858987984657312
38,35,-0.4778522673384846
38,36,-0.5024040628832265
38,37,-0.4969739118160497
38,38,-0.5187618642632645
38,39,-0.5124015772695559
38,40,-0.5326673429362188
38,41,-0.5259748155579252
39,26,-0.4170798111199821
39,27,-0.4139047940257247
39,28,-0.44066861703799215
39,29,-0.4373568814857034
39,30,-0.46283395708669467
39,31,-0.45786868169021366
39,32,-0.48244849897615877
39,33,-0.47649899309432947
39,34,-0.5000981167664583
39,35,-0.4932991868570944
39,36,-0.5169847721799377
39,37,-0.5116234843956818
39,38,-0.5324890745342892
39,39,-0.5269477062314968
39,40,-0.5460354425845376
39,41,-0.5401163274090791
40,26,-0.4021822673799757
40,28,-0.425032054344338
40,29,-0.42188232687718924
40,30,-0.4466824592064485
40,31,-0.4418776866559995
40,32,-0.4660067842134092
40,33,-0.4601959253876071
40,34,-0.4841488047232108
40,35,-0.4773879147826729
40,36,-0.502729603259212
40,37,-0.49753544168838804
40,38,-0.5198384956051539
40,39,-0.5143766221686022
40,40,-0.5346069487563548
40,41,-0.528824372460161
41,26,-0.41529821536988476
41,27,-0.4129136945311863
41,28,-0.4375111365677826
41,29,-0.43520211320290264
41,30,-0.45900834463216217
41,31,-0.45508815615129644
41,32,-0.4782077584266972
41,33,-0.4734477343065831
41,34,-0.49654482487579427
41,35,-0.4910131016952196
41,36,-0.5156175597784394
41,37,-0.5116476469671205
41,38,-0.5330280519458951
41,39,-0.5273511540794473
41,40,-0.5464964869409473
41,41,-0.5414951362901199
42,26,-0.4014781198567461
42,28,-0.4231668669424792
42,29,-0.42092068943174715
42,30,-0.4439295022863419
42,31,-0.44009430617641015
42,32,-0.46259788688590286
42,33,-0.45787770502098446
42,34,-0.48056285679409233
42,35,-0.4751301093363717
42,36,-0.500160145298789
42,37,-0.4963682255688902
42,38,-0.5193971380650679
42,39,-0.5139605192861013
42,40,-0.5344805820043971
42,41,-0.5295884054404012
43,26,-0.41286519670463784
43,27,-0.41132074203093355
43,28,-0.4343179524139133
43,29,-0.4326941690131217
43,30,-0.4547151526663196
43,31,-0.4517123142332491
43,32,-0.4733518854363509
43,33,-0.4694952851097012
43,34,-0.49153372291596437
43,35,-0.4871370684667743
43,36,-0.5112989797933709
43,37,-0.5086887563644695
43,38,-0.5307349151231415
43,39,-0.5264961124836998
43,40,-0.5462740196478227
43,41,-0.5407553740264753
44,28,-0.420916197615021
44,29,-0.41933530934891644
44,30,-0.4407508690108216
44,31,-0.43772539485559053
44,32,-0.458633508379993
44,33,-0.4548366078210171
44,34,-0.476338545609025
44,35,-0.4721368791388617
44,36,-0.49591897524831813
44,37,-0.49353375683294914
44,38,-0.5160356589733177
44,39,-0.5120540154798844
44,40,-0.533367666384371
44,41,-0.5280216182505435
45,26,-0.4097359266066696
45,27,-0.40885095346453715
45,28,-0.43059645883685155
45,29,-0.4297347013380508
45,30,-0.4503416548351166
45,31,-0.44791838859735006
45,32,-0.46823751522486184
45,33,-0.4652456516866494
45,34,-0.48597289158101165
45,35,-0.4825862496187349
45,36,-0.5053877515729879
45,37,-0.5040252979105071
45,38,-0.5257723772454908
45,39,-0.522956104793978
45,40,-0.5428900668978154
45,41,-0.5387206969014303
46,28,-0.4177487153669893
46,29,-0.41687051042195505
46,30,-0.43724714091195593
46,31,-0.4348304945217123
46,32,-0.45458585718443206
46,33,-0.451746326873918
46,34,-0.47180832205528583
46,35,-0.46868612076656807
46,36,-0.4909828075939109
46,37,-0.48983062660217225
46,38,-0.5112479008660206
46,39,-0.5086521609929036
46,40,-0.5290153066225238
46,41,-0.5248833020223935
47,26,-0.40568115477684163
47,27,-0.4054004434760648
47,28,-0.42637359606527137
47,29,-0.4261105799151266
47,30,-0.44586668392273543
47,31,-0.44420120811864483
47,32,-0.4631999937086169
47,33,-0.4609661411509464
47,34,-0.480111458661385
47,35,-0.47777826889059744
47,36,-0.49933124282449987
47,37,-0.49898004112424826
47,38,-0.5190410775385946
47,39,-0.5174771262043903
47,40,-0.5363868128825442
47,41,-0.5333784440425036
